web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,genres,languages,countries,release_date,runtime,vote_average,budget,revenue,overview,tagline,imdb_id,poster_path,backdrop_path,original_language,original_title,popularity,vote_count,prodction_companies
https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",The New York Times,"subject Movies;creative_works The Attachment Diaries (Movie);persons Diment, Valentin Javier;",2023-05-25T11:00:03+0000,295,"‘The Attachment Diaries’ Review: Love, Sick",,,The Attachment Diaries,,,,By Jeannette Catsoulis,,The Attachment Diaries’,"['Drama', 'Mystery', 'Thriller', 'Horror']",['Español'],['Argentina'],2021-10-07,102,4.0,0,0,"Argentina, 1970s. A desperate young woman goes to a clinic to have a clandestine abortion. As her pregnancy is already through the fourth month, the doctor refuses. Instead, she proposes to sell the baby to one of her clients and offers to provide shelter in her house until the child is born. Their disturbed personalities will become intertwined in a strange and dangerous relationship.",,tt11359158,/hKZHk6I1p58ZeXbwjQok7DSWfZ.jpg,,es,El apego,1.101,2,[]
https://www.nytimes.com/2023/05/04/movies/whats-love-got-to-do-with-it-review.html,Two childhood friends navigate cultural differences in this pleasantly uncontentious romantic comedy.,The New York Times,"subject Movies;persons Kapur, Shekhar;persons James, Lily;persons Azmi, Shabana;persons Thompson, Emma;",2023-05-04T17:16:45+0000,287,Review: ‘What’s Love Got to Do With It?’ Probably a Lot,,,What’s Love Got to Do With It?,,,,By Jeannette Catsoulis,,,"['Drama', 'Crime']","['Nederlands', '']","['Belgium', 'Iraq']",2008-09-08,30,5.3,10000,0,Sahim Omar Kalifa's graduating Film. A Kurdish family is trying everything to obtain residence papers and stay in Belgium.,,tt3790100,/94sFc0dpiALW4kTEQ6rzz5pezMO.jpg,/lKV7zxryvsEn73O588eVSqn2q4s.jpg,ku,Nan,0.6,3,"[{'id': 125930, 'logo_path': None, 'name': 'Hogeschool Sint-Lukas Brussel', 'origin_country': ''}]"
https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,The New York Times,"subject Movies;creative_works You Can Live Forever (Movie);persons Slutsky, Mark;persons Watts, Sarah (Film Director);persons ODriscoll, Anwen;persons Laporte, June (Actor);",2023-05-04T11:00:08+0000,294,‘You Can Live Forever’ Review: Do You Love Me Now?,,,You Can Live Forever,,,,By Elisabeth Vincentelli,,You Can Live Forever’,"['Drama', 'Romance']","['English', 'Français']",['Canada'],2023-03-24,96,6.75,0,15055,"When Jaime, a gay teenager, is sent to live in a community of Jehovah's Witnesses in small-town Quebec, she falls madly in love with a devout Witness girl. The two embark on an intense affair with consequences that will reshape the rest of their lives.",,tt15782570,/10MJURrsPfDQmS2AP3fueOHJ0ch.jpg,/sClvKM8C6a1DSPzMwkKjk8pNFDx.jpg,en,You Can Live Forever,6.793,28,"[{'id': 63971, 'logo_path': None, 'name': 'Prospector Films', 'origin_country': ''}, {'id': 49937, 'logo_path': '/j14jwTsJj6ok9IkUFewX7acufKu.png', 'name': 'Good Deed Entertainment', 'origin_country': 'US'}]"
https://www.nytimes.com/2023/04/21/movies/a-tourists-guide-to-love-review.html,Rachael Leigh Cook stars in this bland rom-com as a travel executive exploring Vietnam and getting over a breakup.,The New York Times,"subject Movies;creative_works A Tourists Gue to Love (Movie);persons Tsucha, Steven;persons Cook, Rachael Leigh;",2023-04-21T07:03:25+0000,276,‘A Tourist’s Guide to Love’ Review: A Wearyingly Familiar Trip,,,A Tourist’s  Guide to Love,,,,By Elisabeth Vincentelli,,A Tourist’s Guide to Love’,"['Romance', 'Comedy']","['English', 'Tiếng Việt']",['United States of America'],2023-04-21,96,6.365,0,0,"After an unexpected break up, a travel executive accepts an assignment to go undercover and learn about the tourist industry in Vietnam. Along the way, she finds adventure and romance with her Vietnamese expat tour guide and they decide to hijack the tour bus in order to explore life and love off the beaten path.",,tt20115096,/uWkpjbBe4gRZilXRXbYfsMUZMhz.jpg,/z3Qc5a0grcCREAQKqI195P05dVf.jpg,en,A Tourist's Guide to Love,22.076,144,"[{'id': 48782, 'logo_path': None, 'name': 'Head First Productions', 'origin_country': 'US'}, {'id': 78703, 'logo_path': None, 'name': 'Muse Entertainment', 'origin_country': 'US'}, {'id': 22018, 'logo_path': None, 'name': ""Ben's Sister Productions"", 'origin_country': ''}, {'id': 192391, 'logo_path': None, 'name': 'Radius Squared Media Group', 'origin_country': ''}, {'id': 192389, 'logo_path': None, 'name': 'Cook and Muse Entertainment', 'origin_country': ''}]"
https://www.nytimes.com/2023/04/20/movies/other-peoples-children-review.html,"A radiant Virginie Efira stars as a Parisian teacher who blissfully falls for a man and his 4-year-old daughter, complicating everyone’s lives.",The New York Times,"subject Movies;persons Zlotowski, Rebecca;creative_works Other Peoples Children (Movie);",2023-04-20T15:35:13+0000,801,‘Other People’s Children’ Review: True Romance,Critic’s pick,,Intoxicating Love With a Sobering Turn,,,,By Manohla Dargis,,Other People’s Children’,"['Drama', 'Comedy']","['English', 'Français']",['France'],2022-09-21,104,6.9,0,84178,"Rachel loves her life, her students, her friends, her ex, her guitar lessons. When she falls in love with Ali, she grows close to his 4-year-old daughter, Leila. She tucks her in, looks after her, and loves her like a mother... which she isn’t. Not yet. Rachel is 40. The desire for a family of her own is growing stronger, and the clock is ticking. Is it too late?",,tt15403712,/4vsQ4894pzd7nbvP5FoSOHaS1mI.jpg,/33UGFiijBDX18NHecj5xz5GkkHt.jpg,fr,Les Enfants des autres,17.324,169,"[{'id': 7117, 'logo_path': '/mVAjfnm0GI1V6ZHiGjq4HNH9xiA.png', 'name': 'Les Films Velvet', 'origin_country': 'FR'}, {'id': 591, 'logo_path': '/q5I5RDwMEiqoNmfaJgd2LraEOJY.png', 'name': 'France 3 Cinéma', 'origin_country': 'FR'}]"
https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"subject Movies;persons Bracey, Luke (1989- );persons Liu, Simu;persons Re, Taylor Jenkins;persons Soo, Phillipa;persons Fickman, Andy;creative_works One True Loves (Movie);",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves’,"['Romance', 'Drama', 'Comedy']",['English'],"['Germany', 'United States of America']",2023-04-07,100,6.623,0,37820,"Emma and Jesse are living the perfect life together, until Jesse disappears in a tragic helicopter crash on their first wedding anniversary. Four years later, Emma has found happiness again and is about to marry her best friend when Jesse resurfaces, turning her world upside down and leaving her torn between two great loves.",First love meets new love.,tt14770620,/6MF3JvIZkluUijw9rvDKNqPT8kC.jpg,/omkxkjj0IEhzOc9CBOwK2lrmHSk.jpg,en,One True Loves,17.672,57,"[{'id': 168294, 'logo_path': '/hO9hMQIAUvSEVJHBUdtrsXWfoRu.png', 'name': 'Volition Media Partners', 'origin_country': 'US'}, {'id': 147011, 'logo_path': None, 'name': 'Gosdom Entertainment', 'origin_country': 'US'}, {'id': 2623, 'logo_path': '/7Bkm1yUF0y8x6jw8dHRfzS3B6dq.png', 'name': 'Blue Rider Pictures', 'origin_country': 'US'}, {'id': 179981, 'logo_path': '/vbI6QgAC9s3BilQ5Oa7juyrf59N.png', 'name': 'Thomasville Pictures', 'origin_country': 'US'}, {'id': 170420, 'logo_path': '/83zMnR0m7rNOF4C1nXEPv8LCSkL.png', 'name': 'SquareOne Productions', 'origin_country': 'DE'}, {'id': 5698, 'logo_path': '/meGyUgXybl2X0uJlnvaAWSwVZvt.png', 'name': 'Oops Doughnuts Productions', 'origin_country': 'US'}, {'id': 193458, 'logo_path': None, 'name': 'Storybook Entertainment', 'origin_country': 'US'}, {'id': 80626, 'logo_path': '/zdRndNKHm4pULpG5Lg7m0NaRBdh.png', 'name': 'El Ride Productions', 'origin_country': 'US'}, {'id': 193459, 'logo_path': None, 'name': 'I Think Productions', 'origin_country': ''}, {'id': 117761, 'logo_path': '/4Aa24Ase2LR6wesRolVQ0vinI8T.png', 'name': 'Streamline Global', 'origin_country': 'US'}, {'id': 76991, 'logo_path': '/pQjdvbv4y9yuIDSHDEHc9ijJKaS.png', 'name': 'Highland Film Group', 'origin_country': 'US'}, {'id': 194918, 'logo_path': None, 'name': 'R.U. Robot Studios', 'origin_country': ''}, {'id': 125401, 'logo_path': '/zqK2m6vgqAOVyKCGWHkEpqf3GeE.png', 'name': 'BuzzFeed Studios', 'origin_country': 'US'}]"
https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,"There’s not much Lennon music heard in this doc about his affair with May Pang, and given how much Pang trashes his wife, Yoko Ono, it’s no surprise it was withheld.",The New York Times,"subject Documentary Films and Programs;creative_works The Lost Weekend A Love Story (Movie);persons Pang, May;persons Lennon, John;persons Ono, Yoko;persons Brandstein, Eve;persons Kaufman, Richard S (Filmmaker);persons Samuels, Stuart (Filmmaker);subject Content Type Personal Profile;subject Pop and Rock Music;",2023-04-13T11:00:03+0000,327,‘The Lost Weekend: A Love Story’ Review: When John Lennon Strayed,,,The Lost Weekend:  A Love Story,,,,By Glenn Kenny,,The Lost Weekend: A Love Story’,['Documentary'],['English'],['United States of America'],2023-04-13,95,6.0,0,77145,"May Pang lovingly recounts her life in rock & roll and the whirlwind 18 months spent as friend, lover, and confidante to one of the towering figures of popular culture, John Lennon, in this funny, touching, and vibrant portrait of first love.",John Lennon and May Pang shared a weekend that lasted 18 months and a love story that took 50 years to tell.,tt19812518,/qlbOj1G3YtIDUGSzu1Y590EfSMY.jpg,/uTEvYDLrhrtW57ntM3EbRpgmlZm.jpg,en,The Lost Weekend: A Love Story,2.474,2,[]
https://www.nytimes.com/2023/03/30/movies/a-thousand-and-one-review.html,"A mesmerizing Teyana Taylor stars in A.V. Rockwell’s feature directing debut, about motherhood and survival in a fast-changing city.",The New York Times,"subject Movies;creative_works A Thousand and One (Movie);persons Rockwell, AV (Film Director);persons Taylor, Teyana (1990- );",2023-03-30T18:53:42+0000,971,‘A Thousand and One’ Review: A New York Love Story,Critic’s Pick,,An Unbending Will Meets a Shifting City,,,,By Manohla Dargis,,A Thousand and One’,"['Drama', 'Crime']","['English', 'Español', 'Português']",['United States of America'],2023-03-31,116,7.053,0,3395595,"Struggling but unapologetically living on her own terms, Inez is moving from shelter to shelter in mid-1990s New York City. With her 6-year-old son Terry in foster care and unable to leave him again, she kidnaps him so they can build their life together. As the years go by, their family grows and Terry becomes a smart yet quiet teenager, but the secret that has defined their lives threatens to destroy the home they have so improbably built.",Times change. Love stays the same.,tt12427158,/yW97MlBddOeiw17zUSf2iWvOmkr.jpg,/7NTGZTzqWHgBJeoNaWsAxvHtRy4.jpg,en,A Thousand and One,20.265,66,"[{'id': 99963, 'logo_path': '/wi5JP4jpVBeb9qK97nhICkMurNZ.png', 'name': 'Sight Unseen Pictures', 'origin_country': 'US'}, {'id': 106839, 'logo_path': '/uUIoRabgmUH5VYSXs02bgjO92no.png', 'name': 'Makeready', 'origin_country': 'US'}, {'id': 101758, 'logo_path': '/l5i9Dny0bZhb5RibclPAogdlJ1.png', 'name': 'Hillman Grad Productions', 'origin_country': 'US'}]"
https://www.nytimes.com/2023/02/09/movies/your-place-or-mine-review.html,This humdrum Netflix romantic comedy features Reese Witherspoon and Ashton Kutcher as longtime friends with possibly hidden feelings for each other.,The New York Times,"subject Movies;creative_works Your Place or Mine (Movie);persons Witherspoon, Reese;persons Kutcher, Ashton;persons McKenna, Aline Brosh;",2023-02-10T00:00:05+0000,569,‘Your Place or Mine’ Review: Try Neither,,,They Have a Humdrum Kind of Love,,,,By Amy Nicholson,,Your Place or Mine’,"['Romance', 'Comedy']",['English'],['United States of America'],2023-02-10,109,6.305,0,0,"When best friends and total opposites Debbie and Peter swap homes for a week, they get a peek into each other's lives that could open the door to love.",Two lives. Two cities. One last chance.,tt12823454,/3oFfY1HpzJDlRzKSCBF2sA5mb9U.jpg,/u6HeK9nl6p2MAKSxHF613LOhuFM.jpg,en,Your Place or Mine,35.926,659,"[{'id': 105382, 'logo_path': '/b94sYzp4YUqi3DqIUnWnfrmxlN.png', 'name': 'Hello Sunshine', 'origin_country': 'US'}, {'id': 37361, 'logo_path': '/xpbUNXnrMeEK1ynbqVnHp8ZOVKW.png', 'name': 'Aggregate Films', 'origin_country': 'US'}, {'id': 133810, 'logo_path': None, 'name': 'Lean Machine', 'origin_country': ''}]"
https://www.nytimes.com/2023/02/02/movies/love-in-the-time-of-fentanyl-review.html,"To combat the overdose crisis, a group that includes former and current users open a safe consumption site where shooting up does not have to mean death.",The New York Times,"subject Documentary Films and Programs;subject Fentanyl;subject Drug Abuse and Traffic;subject Volunteers and Community Service;creative_works Love in the Time of Fentanyl (Movie);persons Askey, Colin;glocations Vancouver (British Columbia);organizations Overdose Prevention Society;",2023-02-02T12:00:11+0000,306,"‘Love in the Time of Fentanyl’ Review: Heartbreak, Death and Hope in Vancouver",,,Love in the Time Of Fentanyl,,,,By Concepción de León,,Love in the Time of Fentanyl’,['Documentary'],['English'],"['Canada', 'United States of America']",2023-02-03,85,0.0,0,0,An intimate portrait of a community fighting to save lives and keep hope alive in a neighborhood ravaged by the overdose crisis.,,tt20236978,/rSAhu53e2WgHZZX2oiXnzxr3Q09.jpg,/lE8xquVrAf5UiUA8pzBxxdp2vPH.jpg,en,Love in the Time of Fentanyl,0.983,0,"[{'id': 10943, 'logo_path': '/9jd9RFYraPpPCz7rpqp5KhrwfAH.png', 'name': 'ITVS', 'origin_country': 'US'}, {'id': 84895, 'logo_path': None, 'name': 'Lost Time Media', 'origin_country': ''}]"
